tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LIU Shiwen,SEOK Hajung,4,0,"11,12,13,11|6,10,11,6",QF,GRAND_SLAM,WS,108,Main Draw,LIU Shiwen (CHN),SEOK Hajung (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,FENG Tianwei,DING Ning,4,3,"11,5,5,12,11,8,11|8,11,11,10,9,11,3",SF,GRAND_SLAM,WS,108,Main Draw,FENG Tianwei (SGP),DING Ning (CHN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LIU Shiwen,ZHU Yuling,4,0,"11,11,11,11|5,3,5,8",SF,GRAND_SLAM,WS,108,Main Draw,LIU Shiwen (CHN),ZHU Yuling (MAC)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LIU Shiwen,FENG Tianwei,4,2,"4,13,11,11,3,11|11,11,8,2,11,8",F,GRAND_SLAM,WS,108,Main Draw,LIU Shiwen (CHN),FENG Tianwei (SGP)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,PLATONOV Pavel,KIM Kyungmin,4,3,"7,7,11,11,11,7,11|11,11,7,6,7,11,8",QR32,GRAND_SLAM,MS,108,Qualification,PLATONOV Pavel (BLR),KIM Kyungmin (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MORIZONO Masataka,WONG Chun Ting,4,3,"11,11,9,11,8,9,11|4,9,11,8,11,11,6",QR32,GRAND_SLAM,MS,108,Qualification,MORIZONO Masataka (JPN),WONG Chun Ting (HKG)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KANG Dongsoo,DIDUKH Oleksandr,4,0,"11,11,11,11|5,4,8,6",QR32,GRAND_SLAM,MS,108,Qualification,KANG Dongsoo (KOR),DIDUKH Oleksandr (UKR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,SALEH Ahmed,DEVOS Robin,4,2,"9,15,11,4,11,11|11,13,7,11,2,6",QR32,GRAND_SLAM,MS,108,Qualification,SALEH Ahmed (EGY),DEVOS Robin (BEL)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LASHIN Elsayed,LAKEEV Vasily,4,3,"11,7,8,6,11,11,13|6,11,11,11,8,9,11",QR32,GRAND_SLAM,MS,108,Qualification,LASHIN Elsayed (EGY),LAKEEV Vasily (RUS)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MATSUMOTO Cazuo,GHOSH Soumyajit,4,1,"12,11,10,11,11|10,4,12,8,3",QR32,GRAND_SLAM,MS,108,Qualification,MATSUMOTO Cazuo (BRA),GHOSH Soumyajit (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KARLSSON Mattias,ROY Soumyadeep,4,3,"5,10,11,11,9,11,11|11,12,8,8,11,8,5",QR32,GRAND_SLAM,MS,108,Qualification,KARLSSON Mattias (SWE),ROY Soumyadeep (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MONTEIRO Thiago,SHETTY Sanil,4,2,"7,11,11,14,11,11|11,9,7,16,7,9",QR32,GRAND_SLAM,MS,108,Qualification,MONTEIRO Thiago (BRA),SHETTY Sanil (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,WU Zhikang,STOYANOV Niagol,4,2,"11,11,11,7,5,11|7,8,7,11,11,6",QR32,GRAND_SLAM,MS,108,Qualification,WU Zhikang (SGP),STOYANOV Niagol (ITA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HUNG Tzu-Hsiang,FLORITZ Philipp,4,1,"11,8,11,14,14|9,11,7,12,12",QR32,GRAND_SLAM,MS,108,Qualification,HUNG Tzu-Hsiang (TPE),FLORITZ Philipp (BUL)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,CHEN Feng,KIM Kyungmin,4,2,"12,4,9,11,11,11|10,11,11,4,7,5",,GRAND_SLAM,MS,108,Qualification,CHEN Feng (SGP),KIM Kyungmin (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,CHEN Feng,DESAI Harmeet,4,3,"10,11,7,11,14,9,11|12,7,11,8,12,11,9",,GRAND_SLAM,MS,108,Qualification,CHEN Feng (SGP),DESAI Harmeet (IND)
