tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour India Open New Delhi 2017,2017-02-14,PAUL Mousumi,BATRA Manika,4,1,"11,8,11,11,11|7,11,7,4,8",R32,GRAND_SLAM,WS,455,Main Draw,PAUL Mousumi (IND),BATRA Manika (IND),PAUL Mousumi
World Tour India Open New Delhi 2017,2017-02-14,MUKHERJEE Sutirtha,DAS Ankita,4,0,"11,11,11,11|5,8,8,9",R32,GRAND_SLAM,WS,455,Main Draw,DAS Ankita (IND),MUKHERJEE Sutirtha (IND),MUKHERJEE Sutirtha
World Tour India Open New Delhi 2017,2017-02-14,JIANG Huajun,ROY Krittwika,4,3,"11,6,11,13,8,8,19|6,11,7,11,11,11,17",R32,GRAND_SLAM,WS,455,Main Draw,ROY Krittwika (IND),JIANG Huajun (HKG),JIANG Huajun
World Tour India Open New Delhi 2017,2017-02-14,SHAO Jieni,SELVAKUMAR Selena,4,0,"11,11,11,11|5,2,8,5",R32,GRAND_SLAM,WS,455,Main Draw,SHAO Jieni (POR),SELVAKUMAR Selena (IND),SHAO Jieni
World Tour India Open New Delhi 2017,2017-02-14,WANG Yi-Ju,PUSHPAK Amrutha,4,0,"11,11,11,11|8,9,6,9",R32,GRAND_SLAM,WS,455,Main Draw,PUSHPAK Amrutha (IND),WANG Yi-Ju (TPE),WANG Yi-Ju
World Tour India Open New Delhi 2017,2017-02-14,LIN Po-Hsuan,PAREEK Priyanka,4,1,"6,11,11,11,11|11,8,6,9,3",R32,GRAND_SLAM,WS,455,Main Draw,LIN Po-Hsuan (TPE),PAREEK Priyanka (CAN),LIN Po-Hsuan
World Tour India Open New Delhi 2017,2017-02-14,SOO Wai Yam,PATKAR Madhurika,4,1,"9,11,11,11,11|11,6,2,4,9",R32,GRAND_SLAM,WS,455,Main Draw,PATKAR Madhurika (IND),SOO Wai Yam (HKG),SOO Wai Yam
World Tour India Open New Delhi 2017,2017-02-14,DAS Mouma,AKULA Sreeja,4,2,"3,11,11,9,11,11|11,8,8,11,6,7",R32,GRAND_SLAM,WS,455,Main Draw,DAS Mouma (IND),AKULA Sreeja (IND),DAS Mouma
World Tour India Open New Delhi 2017,2017-02-14,NG Wing Nam,DAS Priyadarshini,4,2,"13,11,11,5,11,11|11,13,3,11,6,7",R32,GRAND_SLAM,WS,455,Main Draw,DAS Priyadarshini (IND),NG Wing Nam (HKG),NG Wing Nam
World Tour India Open New Delhi 2017,2017-02-14,MORI Sakura,CALANGE Harsha,4,0,"11,11,11,11|8,5,5,7",R32,GRAND_SLAM,WS,455,Main Draw,MORI Sakura (JPN),CALANGE Harsha (IND),MORI Sakura
