tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Contender Muscat 2024,2024-10-31,IONESCU Ovidiu,PARK Gyuhyeon,3,2,"11,10,11,6,11|8,12,6,11,5",R16,WTT_CONTENDER,MS,2997,Main Draw,IONESCU Ovidiu (ROU),PARK Gyuhyeon (KOR),IONESCU Ovidiu
WTT Contender Muscat 2024,2024-10-31,ODO Satsuki,KIM Seoyun,3,0,"11,12,11|7,10,4",R16,WTT_CONTENDER,WS,2997,Main Draw,ODO Satsuki (JPN),KIM Seoyun (KOR),ODO Satsuki
WTT Contender Muscat 2024,2024-10-31,GHOSH Swastika,SAMARA Elizabeta,3,0,"11,11,11|8,7,9",R16,WTT_CONTENDER,WS,2997,Main Draw,GHOSH Swastika (IND),SAMARA Elizabeta (ROU),GHOSH Swastika
WTT Contender Muscat 2024,2024-10-31,XUE Fei,THAKKAR Manav Vikash,3,2,"11,10,11,10,11|9,12,5,12,5",R16,WTT_CONTENDER,MS,2997,Main Draw,XUE Fei (CHN),THAKKAR Manav Vikash (IND),XUE Fei
WTT Contender Muscat 2024,2024-10-31,OH Junsung/PARK Gyuhyeon,WONG Chun Ting/CHAN Baldwin,3,0,"11,11,11|4,6,6",QF,WTT_CONTENDER,MD,2997,Main Draw,OH Junsung/PARK Gyuhyeon (KOR),WONG Chun Ting/CHAN Baldwin (HKG),OH Junsung/PARK Gyuhyeon
WTT Contender Muscat 2024,2024-10-31,YANG Yiyun/ZHU Sibing,MUKHERJEE Sutirtha/MUKHERJEE Ayhika,3,0,"11,11,11|2,5,8",QF,WTT_CONTENDER,WD,2997,Main Draw,YANG Yiyun/ZHU Sibing (CHN),MUKHERJEE Sutirtha/MUKHERJEE Ayhika (IND),YANG Yiyun/ZHU Sibing
WTT Contender Muscat 2024,2024-10-31,LIN Shidong/KUAI Man,YUAN Licen/SHI Xunyao,3,2,"8,11,10,11,16|11,2,12,7,14",SF,WTT_CONTENDER,XD,2997,Main Draw,LIN Shidong/KUAI Man (CHN),YUAN Licen/SHI Xunyao (CHN),LIN Shidong/KUAI Man
WTT Contender Muscat 2024,2024-10-31,WONG Chun Ting/DOO Hoi Kem,SHAH Manush Utpalbhai/CHITALE Diya Parag,3,1,"10,11,12,11|12,8,10,7",SF,WTT_CONTENDER,XD,2997,Main Draw,WONG Chun Ting/DOO Hoi Kem (HKG),SHAH Manush Utpalbhai/CHITALE Diya Parag (IND),WONG Chun Ting/DOO Hoi Kem
WTT Contender Muscat 2024,2024-10-31,YOON Hyobin/KIM Seoyun,QIAN Tianyi/SHI Xunyao,3,1,"11,12,11,12|5,14,9,10",QF,WTT_CONTENDER,WD,2997,Main Draw,YOON Hyobin/KIM Seoyun (KOR),QIAN Tianyi/SHI Xunyao (CHN),YOON Hyobin/KIM Seoyun
WTT Contender Muscat 2024,2024-10-31,HO Kwan Kit/YIU Kwan To,CHEW Zhe Yu Clarence/CHUA Josh Shao Han,3,2,"12,11,3,11,11|14,7,11,6,8",QF,WTT_CONTENDER,MD,2997,Main Draw,HO Kwan Kit/YIU Kwan To (HKG),CHEW Zhe Yu Clarence/CHUA Josh Shao Han (SGP),HO Kwan Kit/YIU Kwan To
WTT Contender Muscat 2024,2024-10-31,KUAI Man,DOO Hoi Kem,3,0,"11,11,11|8,5,4",R16,WTT_CONTENDER,WS,2997,Main Draw,KUAI Man (CHN),DOO Hoi Kem (HKG),KUAI Man
WTT Contender Muscat 2024,2024-10-31,KIM Nayeong,MUKHERJEE Ayhika,3,1,"13,6,14,11|11,11,12,4",R16,WTT_CONTENDER,WS,2997,Main Draw,KIM Nayeong (KOR),MUKHERJEE Ayhika (IND),KIM Nayeong
