tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Star Contender São José dos Campos 2026,2026-07-23,TOGAMI Shunsuke/ODO Satsuki,LEBRUN Alexis/LUTZ Charlotte,3,2,"11,11,9,6,11|6,7,11,11,8",R16,WTT_STAR_CONTENDER,XD,3244,Main Draw,TOGAMI Shunsuke/ODO Satsuki (JPN),LEBRUN Alexis/LUTZ Charlotte (FRA),TOGAMI Shunsuke/ODO Satsuki
WTT Star Contender São José dos Campos 2026,2026-07-23,YIU Kwan To/NG Wing Lam,BURGOS Nicolas/VEGA Paulina,3,2,"11,11,7,9,12|7,7,11,11,10",R16,WTT_STAR_CONTENDER,XD,3244,Main Draw,YIU Kwan To/NG Wing Lam (HKG),BURGOS Nicolas/VEGA Paulina (CHI),YIU Kwan To/NG Wing Lam
WTT Star Contender São José dos Campos 2026,2026-07-23,AOKI Sachi,BORGES Bianca,3,0,"11,11,11|5,4,5",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,AOKI Sachi (JPN),BORGES Bianca (BRA),AOKI Sachi
WTT Star Contender São José dos Campos 2026,2026-07-23,WONG Chun Ting/DOO Hoi Kem,IIZUKA Leonardo/STRASSBURGER Victoria,3,0,"11,11,11|9,5,3",R16,WTT_STAR_CONTENDER,XD,3244,Main Draw,WONG Chun Ting/DOO Hoi Kem (HKG),IIZUKA Leonardo/STRASSBURGER Victoria (BRA),WONG Chun Ting/DOO Hoi Kem
WTT Star Contender São José dos Campos 2026,2026-07-23,SEYFRIED Joe,OTALVARO Emanuel,3,2,"7,9,11,11,11|11,11,5,7,7",R64,WTT_STAR_CONTENDER,MS,3244,Main Draw,SEYFRIED Joe (FRA),OTALVARO Emanuel (COL),SEYFRIED Joe
WTT Star Contender São José dos Campos 2026,2026-07-23,CODINA Ana,SHIRAY Karina,3,2,"11,7,11,5,11|6,11,7,11,7",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,CODINA Ana (ARG),SHIRAY Karina (BRA),CODINA Ana
WTT Star Contender São José dos Campos 2026,2026-07-23,CHAN Baldwin,LY Edward,3,1,"10,11,11,11|12,5,2,5",R64,WTT_STAR_CONTENDER,MS,3244,Main Draw,CHAN Baldwin (HKG),LY Edward (CAN),CHAN Baldwin
WTT Star Contender São José dos Campos 2026,2026-07-23,TEODORO Guilherme,CASTRO Rogelio,3,1,"9,11,11,11|11,5,9,7",R64,WTT_STAR_CONTENDER,MS,3244,Main Draw,TEODORO Guilherme (BRA),CASTRO Rogelio (MEX),TEODORO Guilherme
WTT Star Contender São José dos Campos 2026,2026-07-23,DE NODREST Leo/ROLLAND Jules,DUDA Benedikt/FRANZISKA Patrick,3,0,"11,11,11|4,9,7",R16,WTT_STAR_CONTENDER,MD,3244,Main Draw,DE NODREST Leo/ROLLAND Jules (FRA),DUDA Benedikt/FRANZISKA Patrick (GER),DE NODREST Leo/ROLLAND Jules
WTT Star Contender São José dos Campos 2026,2026-07-23,COSSIO Arantxa/BERGAND Filippa,SARDA Mahayla/AGNONE MAIARA,3,0,"11,11,11|3,3,6",R16,WTT_STAR_CONTENDER,WD,3244,Main Draw,COSSIO Arantxa/BERGAND Filippa (MEX/SWE),SARDA Mahayla/AGNONE MAIARA (BRA),COSSIO Arantxa/BERGAND Filippa
WTT Star Contender São José dos Campos 2026,2026-07-23,DOO Hoi Kem/NG Wing Lam,SU Tsz Tung/LEE Hoi Man,3,2,"11,12,11,8,11|2,14,9,11,2",R16,WTT_STAR_CONTENDER,WD,3244,Main Draw,DOO Hoi Kem/NG Wing Lam (HKG),SU Tsz Tung/LEE Hoi Man (HKG),DOO Hoi Kem/NG Wing Lam
WTT Star Contender São José dos Campos 2026,2026-07-23,FIORE Beatriz,FRANCO Mariana,3,0,"11,11,11|2,7,3",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,FIORE Beatriz (BRA),FRANCO Mariana (BRA),FIORE Beatriz
WTT Star Contender São José dos Campos 2026,2026-07-23,LAM Siu Hang/YIU Kwan To,FUJII Davi/OKANO Felipe,3,0,"12,11,11|10,7,4",R16,WTT_STAR_CONTENDER,MD,3244,Main Draw,LAM Siu Hang/YIU Kwan To (HKG),FUJII Davi/OKANO Felipe (BRA),LAM Siu Hang/YIU Kwan To
WTT Star Contender São José dos Campos 2026,2026-07-23,TAKAHASHI Giulia,FONTANIVE Luiza,3,2,"8,8,11,11,11|11,11,7,7,5",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,TAKAHASHI Giulia (BRA),FONTANIVE Luiza (BRA),TAKAHASHI Giulia
