tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BOLL Timo,MONTEIRO Joao,3,1,"11,11,9,11|3,6,11,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BOLL Timo (GER),MONTEIRO Joao (POR),BOLL Timo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,STEGER Bastian,MENDES Enio,3,1,"11,10,11,11|8,12,8,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,STEGER Bastian (GER),MENDES Enio (POR),STEGER Bastian
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KARAKASEVIC Aleksandar,YANG Zi,3,1,"11,11,11,11|4,5,13,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KARAKASEVIC Aleksandar (SRB),YANG Zi (SGP),KARAKASEVIC Aleksandar
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GAO Ning,PETO Zsolt,3,0,"11,12,11|3,10,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GAO Ning (SGP),PETO Zsolt (SRB),GAO Ning
World Team Table Tennis Championships Dortmund 2012,2012-03-25,JEVTOVIC Marko,PANG Xue Jie,3,1,"10,11,11,11|12,7,8,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,JEVTOVIC Marko (SRB),PANG Xue Jie (SGP),JEVTOVIC Marko
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GAO Ning,KARAKASEVIC Aleksandar,3,0,"11,11,12|9,7,10",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GAO Ning (SGP),KARAKASEVIC Aleksandar (SRB),GAO Ning
World Team Table Tennis Championships Dortmund 2012,2012-03-25,YANG Zi,PETO Zsolt,3,0,"12,13,11|10,11,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,YANG Zi (SGP),PETO Zsolt (SRB),YANG Zi
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KORBEL Petr,MACHADO Carlos,3,0,"11,11,11|7,4,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KORBEL Petr (CZE),MACHADO Carlos (ESP),KORBEL Petr
World Team Table Tennis Championships Dortmund 2012,2012-03-25,PROKOPCOV Dmitrij,CARNEROS Alfredo,3,0,"11,11,11|6,5,5",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,PROKOPCOV Dmitrij (CZE),CARNEROS Alfredo (ESP),PROKOPCOV Dmitrij
World Team Table Tennis Championships Dortmund 2012,2012-03-25,HE Zhiwen,GAVLAS Antonin,3,2,"11,7,11,5,11|9,11,4,11,4",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,HE Zhiwen (ESP),GAVLAS Antonin (CZE),HE Zhiwen
World Team Table Tennis Championships Dortmund 2012,2012-03-25,CARNEROS Alfredo,KORBEL Petr,3,2,"6,11,10,11,11|11,5,12,9,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,CARNEROS Alfredo (ESP),KORBEL Petr (CZE),CARNEROS Alfredo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MACHADO Carlos,PROKOPCOV Dmitrij,3,2,"11,10,11,8,11|8,12,7,11,3",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MACHADO Carlos (ESP),PROKOPCOV Dmitrij (CZE),MACHADO Carlos
World Team Table Tennis Championships Dortmund 2012,2012-03-25,SUSS Christian,JEVTOVIC Marko,3,1,"7,11,11,11|11,2,6,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,SUSS Christian (GER),JEVTOVIC Marko (SRB),SUSS Christian
World Team Table Tennis Championships Dortmund 2012,2012-03-25,STEGER Bastian,KARAKASEVIC Aleksandar,3,1,"11,11,11,11|6,7,13,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,STEGER Bastian (GER),KARAKASEVIC Aleksandar (SRB),STEGER Bastian
