tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
US Open Florida Orlando 2018,2018-12-17,ZHANG Kai,FUJIKI Shoji,USA,JPN,4,2,"12,9,3,13,11,11|10,11,11,11,6,4",R64,WTT_CONTENDER,MS,1996,Main Draw,FUJIKI Shoji (JPN),ZHANG Kai (USA),,,2 - 4,10:12 11:9 11:3 11:13 6:11 4:11,ZHANG Kai,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,POWELL David,WU Vicky,AUS,FIJ,4,0,"11,11,11,11|5,7,1,9",R16,OTHER,MS,911,Main Draw,WU Vicky (FIJ),POWELL David (AUS),,,0 - 4,5:11 7:11 1:11 9:11,POWELL David,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,TOWNSEND Kane,DELA PENA Alfred,AUS,NZL,4,0,"11,11,11,11|3,8,5,6",R16,OTHER,MS,911,Main Draw,TOWNSEND Kane (AUS),DELA PENA Alfred (NZL),,,4 - 0,11:3 11:8 11:5 11:6,TOWNSEND Kane,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,CARTER Trent,SHING Yoshua,AUS,VAN,4,1,"9,11,11,11,11|11,6,8,5,8",R16,OTHER,MS,911,Main Draw,CARTER Trent (AUS),SHING Yoshua (VAN),,,4 - 1,9:11 11:6 11:8 11:5 11:8,CARTER Trent,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,BALL Matthew,BELROSE Alize,NZL,PYF,4,2,"9,11,11,11,8,11|11,6,6,7,11,8",R16,OTHER,MS,911,Main Draw,BALL Matthew (NZL),BELROSE Alize (PYF),,,4 - 2,9:11 11:6 11:6 11:7 8:11 11:8,BALL Matthew,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,HU Heming,SHU Dean,AUS,NZL,4,3,"11,10,8,9,11,11,11|8,12,11,11,4,7,5",QuarterFinal,OTHER,MS,911,Main Draw,HU Heming (AUS),SHU Dean (NZL),,,4 - 3,11:8 10:12 8:11 9:11 11:4 11:7 11:5,HU Heming,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,POWELL David,IRANI Dinyar,AUS,NZL,4,0,"11,11,11,11|6,6,6,9",QuarterFinal,OTHER,MS,911,Main Draw,IRANI Dinyar (NZL),POWELL David (AUS),,,0 - 4,6:11 6:11 6:11 9:11,POWELL David,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,TOWNSEND Kane,CARTER Trent,AUS,AUS,4,3,"11,12,9,11,8,11,11|7,14,11,5,11,7,7",QuarterFinal,OTHER,MS,911,Main Draw,TOWNSEND Kane (AUS),CARTER Trent (AUS),,,4 - 3,11:7 12:14 9:11 11:5 8:11 11:7 11:7,TOWNSEND Kane,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,YAN Xin,BALL Matthew,AUS,NZL,4,2,"11,13,12,11,7,11|13,11,10,9,11,7",QuarterFinal,OTHER,MS,911,Main Draw,BALL Matthew (NZL),YAN Xin (AUS),,,2 - 4,13:11 11:13 10:12 9:11 11:7 7:11,YAN Xin,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,HU Heming,POWELL David,AUS,AUS,4,2,"8,13,11,5,11,12|11,11,5,11,6,10",SemiFinal,OTHER,MS,911,Main Draw,HU Heming (AUS),POWELL David (AUS),,,4 - 2,8:11 13:11 11:5 5:11 11:6 12:10,HU Heming,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,YAN Xin,TOWNSEND Kane,AUS,AUS,4,2,"4,11,11,9,11,11|11,9,7,11,5,6",SemiFinal,OTHER,MS,911,Main Draw,TOWNSEND Kane (AUS),YAN Xin (AUS),,,2 - 4,11:4 9:11 7:11 11:9 5:11 6:11,YAN Xin,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,YAN Xin,HU Heming,AUS,AUS,4,3,"4,11,11,11,7,9,11|11,5,9,8,11,11,6",Final,OTHER,MS,911,Main Draw,HU Heming (AUS),YAN Xin (AUS),,,3 - 4,11:4 5:11 9:11 8:11 11:7 11:9 6:11,YAN Xin,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,LAY Jian Fang,TOMMY Priscilla,AUS,VAN,4,0,"11,11,11,11|2,3,7,3",QuarterFinal,OTHER,WS,911,Main Draw,LAY Jian Fang (AUS),TOMMY Priscilla (VAN),,,4 - 0,11:2 11:3 11:7 11:3,LAY Jian Fang,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,FENG Chunyi,QWEA Stephanie,AUS,VAN,4,0,"11,11,11,11|7,6,2,3",QuarterFinal,OTHER,WS,911,Main Draw,QWEA Stephanie (VAN),FENG Chunyi (AUS),,,0 - 4,7:11 6:11 2:11 3:11,FENG Chunyi,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,TAPPER Melissa,YEE Sally,AUS,FIJ,4,0,"11,11,11,11|1,7,3,4",QuarterFinal,OTHER,WS,911,Main Draw,TAPPER Melissa (AUS),YEE Sally (FIJ),,,4 - 0,11:1 11:7 11:3 11:4,TAPPER Melissa,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,BROMLEY Michelle,YEE Grace Rosi,AUS,FIJ,4,0,"13,11,11,11|11,2,3,4",QuarterFinal,OTHER,WS,911,Main Draw,BROMLEY Michelle (AUS),YEE Grace Rosi (FIJ),,,4 - 0,13:11 11:2 11:3 11:4,BROMLEY Michelle,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,LAY Jian Fang,FENG Chunyi,AUS,AUS,4,3,"11,9,11,12,10,10,11|5,11,5,10,12,12,7",SemiFinal,OTHER,WS,911,Main Draw,LAY Jian Fang (AUS),FENG Chunyi (AUS),,,4 - 3,11:5 9:11 11:5 12:10 10:12 10:12 11:7,LAY Jian Fang,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,TAPPER Melissa,BROMLEY Michelle,AUS,AUS,4,0,"11,11,11,12|9,8,7,10",SemiFinal,OTHER,WS,911,Main Draw,TAPPER Melissa (AUS),BROMLEY Michelle (AUS),,,4 - 0,11:9 11:8 11:7 12:10,TAPPER Melissa,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,LAY Jian Fang,TAPPER Melissa,AUS,AUS,4,0,"12,11,11,11|10,9,5,6",Final,OTHER,WS,911,Main Draw,LAY Jian Fang (AUS),TAPPER Melissa (AUS),,,4 - 0,12:10 11:9 11:5 11:6,LAY Jian Fang,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,AUBRY Ronan,WING Philip,NCL,FIJ,3,0,"11,11,11|6,5,4",8,OTHER,MS,911,Consolation,WING Philip (FIJ),AUBRY Ronan (NCL),,,0 - 3,6:11 5:11 4:11,AUBRY Ronan,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,WILLIAM Randy,MANICO Benji,VAN,COK,3,1,"7,17,11,11|11,15,9,8",8,OTHER,MS,911,Consolation,WILLIAM Randy (VAN),MANICO Benji (COK),,,3 - 1,7:11 17:15 11:9 11:8,WILLIAM Randy,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,LULU Ham,UEA Tautu,VAN,COK,3,0,"11,11,11|3,6,5",8,OTHER,MS,911,Consolation,LULU Ham (VAN),UEA Tautu (COK),,,3 - 0,11:3 11:6 11:5,LULU Ham,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,AUBRY Ronan,WILLIAM Randy,NCL,VAN,3,0,"11,11,11|2,7,5",4,OTHER,MS,911,Consolation,AUBRY Ronan (NCL),WILLIAM Randy (VAN),,,3 - 0,11:2 11:7 11:5,AUBRY Ronan,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,LULU Ham,CHARLES Nolann,VAN,NCL,3,2,"4,11,12,5,11|11,5,10,11,7",4,OTHER,MS,911,Consolation,CHARLES Nolann (NCL),LULU Ham (VAN),,,2 - 3,11:4 5:11 10:12 11:5 7:11,LULU Ham,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,AUBRY Ronan,LULU Ham,NCL,VAN,3,0,"11,11,11|7,5,2",2,OTHER,MS,911,Consolation,AUBRY Ronan (NCL),LULU Ham (VAN),,,3 - 0,11:7 11:5 11:2,AUBRY Ronan,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,WING Philip,UEA Tautu,FIJ,COK,3,0,"11,11,11|3,4,0",R16,OTHER,MD,911,Main Draw,UEA Tautu (COK),WING Philip (FIJ),MANICO Benji (COK),WU Vicky (FIJ),0 - 3,3:11 4:11 0:11,WING Philip,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,SHU Dean,SHING Yoshua,NZL,VAN,3,0,"11,11,11|5,5,6",QuarterFinal,OTHER,MD,911,Main Draw,SHING Yoshua (VAN),SHU Dean (NZL),LULU Ham (VAN),DELA PENA Alfred (NZL),0 - 3,5:11 5:11 6:11,SHU Dean,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,BELROSE Alize,BALL Matthew,PYF,NZL,3,1,"12,11,8,11|10,6,11,7",QuarterFinal,OTHER,MD,911,Main Draw,BALL Matthew (NZL),BELROSE Alize (PYF),IRANI Dinyar (NZL),CARNET Bydhir (PYF),1 - 3,10:12 6:11 11:8 7:11,BELROSE Alize,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,POWELL David,WING Philip,AUS,FIJ,3,0,"11,11,11|8,5,7",QuarterFinal,OTHER,MD,911,Main Draw,WING Philip (FIJ),POWELL David (AUS),WU Vicky (FIJ),TOWNSEND Kane (AUS),0 - 3,8:11 5:11 7:11,POWELL David,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,YEE Grace Rosi,DANGER Solenn,FIJ,NCL,3,1,"11,11,14,12|6,13,12,10",QuarterFinal,OTHER,WD,911,Main Draw,YEE Grace Rosi (FIJ),DANGER Solenn (NCL),YEE Sally (FIJ),LA Lorie (NCL),3 - 1,11:6 11:13 14:12 12:10,YEE Grace Rosi,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,LULU Anolyn,LAY Jian Fang,VAN,AUS,3,0,,SemiFinal,OTHER,WD,911,Main Draw,LAY Jian Fang (AUS),LULU Anolyn (VAN),MIAO Miao (AUS),TOMMY Priscilla (VAN),0 - 3,,LULU Anolyn,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,TAPPER Melissa,YEE Grace Rosi,AUS,FIJ,3,0,"11,11,11|8,4,6",SemiFinal,OTHER,WD,911,Main Draw,YEE Grace Rosi (FIJ),TAPPER Melissa (AUS),YEE Sally (FIJ),BROMLEY Michelle (AUS),0 - 3,8:11 4:11 6:11,TAPPER Melissa,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,TAPPER Melissa,LULU Anolyn,AUS,VAN,3,0,"11,11,11|6,9,3",Final,OTHER,WD,911,Main Draw,LULU Anolyn (VAN),TAPPER Melissa (AUS),TOMMY Priscilla (VAN),BROMLEY Michelle (AUS),0 - 3,6:11 9:11 3:11,TAPPER Melissa,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,LOI Geoffrey,UEA Tautu,PNG,COK,3,0,"11,11,11|5,5,7",QuarterFinal,OTHER,U21MD,911,Main Draw,UEA Tautu (COK),LOI Geoffrey (PNG),MANICO Benji (COK),CARNET Bydhir (PYF),0 - 3,5:11 5:11 7:11,LOI Geoffrey,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,DIXON Xavier,WU Vicky,AUS,FIJ,3,0,"11,11,14|8,3,12",QuarterFinal,OTHER,U21MD,911,Main Draw,DIXON Xavier (AUS),WU Vicky (FIJ),COSGRIFF Luke (AUS),AUBRY Ronan (NCL),3 - 0,11:8 11:3 14:12,DIXON Xavier,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,DHOORIA Rohan,LOI Geoffrey,AUS,PNG,3,0,"16,11,11|14,6,8",SemiFinal,OTHER,U21MD,911,Main Draw,DHOORIA Rohan (AUS),LOI Geoffrey (PNG),GOULD Benjamin (AUS),CARNET Bydhir (PYF),3 - 0,16:14 11:6 11:8,DHOORIA Rohan,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,DIXON Xavier,DELA PENA Alfred,AUS,NZL,3,1,"11,11,9,11|7,8,11,8",SemiFinal,OTHER,U21MD,911,Main Draw,DIXON Xavier (AUS),DELA PENA Alfred (NZL),COSGRIFF Luke (AUS),XU Nathan (NZL),3 - 1,11:7 11:8 9:11 11:8,DIXON Xavier,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,DIXON Xavier,DHOORIA Rohan,AUS,AUS,3,1,"8,17,11,11|11,15,9,3",Final,OTHER,U21MD,911,Main Draw,DHOORIA Rohan (AUS),DIXON Xavier (AUS),GOULD Benjamin (AUS),COSGRIFF Luke (AUS),1 - 3,11:8 15:17 9:11 3:11,DIXON Xavier,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,KAUR Parleen,YEE Grace Rosi,AUS,FIJ,3,1,"11,9,11,11|5,11,7,6",SemiFinal,OTHER,U21WD,911,Main Draw,KAUR Parleen (AUS),YEE Grace Rosi (FIJ),TOWNSEND Danni Elle (AUS),YEE Sally (FIJ),3 - 1,11:5 9:11 11:7 11:6,KAUR Parleen,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,ALEXANDERSSON Matilda,DANGER Solenn,AUS,NCL,3,0,"11,13,12|4,11,10",SemiFinal,OTHER,U21WD,911,Main Draw,DANGER Solenn (NCL),ALEXANDERSSON Matilda (AUS),LA Lorie (NCL),QUAH Chermaine (AUS),0 - 3,4:11 11:13 10:12,ALEXANDERSSON Matilda,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,KAUR Parleen,ALEXANDERSSON Matilda,AUS,AUS,3,0,"11,11,11|7,6,8",Final,OTHER,U21WD,911,Main Draw,KAUR Parleen (AUS),ALEXANDERSSON Matilda (AUS),TOWNSEND Danni Elle (AUS),QUAH Chermaine (AUS),3 - 0,11:7 11:6 11:8,KAUR Parleen,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,SHING Yoshua,CHARLES Nolann,VAN,NCL,3,0,"12,11,11|10,7,6",R16,OTHER,XD,911,Main Draw,CHARLES Nolann (NCL),SHING Yoshua (VAN),DANGER Solenn (NCL),LULU Anolyn (VAN),0 - 3,10:12 7:11 6:11,SHING Yoshua,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,TOWNSEND Kane,WU Vicky,AUS,FIJ,3,0,"11,11,11|5,7,4",R16,OTHER,XD,911,Main Draw,TOWNSEND Kane (AUS),WU Vicky (FIJ),BROMLEY Michelle (AUS),YEE Grace Rosi (FIJ),3 - 0,11:5 11:7 11:4,TOWNSEND Kane,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,CARTER Trent,AUBRY Ronan,AUS,NCL,3,0,"11,11,11|9,6,4",R16,OTHER,XD,911,Main Draw,CARTER Trent (AUS),AUBRY Ronan (NCL),FENG Chunyi (AUS),LA Lorie (NCL),3 - 0,11:9 11:6 11:4,CARTER Trent,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,LULU Ham,WING Philip,VAN,FIJ,3,2,"8,11,8,11,11|11,5,11,5,4",R16,OTHER,XD,911,Main Draw,WING Philip (FIJ),LULU Ham (VAN),YEE Sally (FIJ),TOMMY Priscilla (VAN),2 - 3,11:8 5:11 11:8 5:11 4:11,LULU Ham,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,BELROSE Alize,WILLIAM Randy,PYF,VAN,3,0,"14,11,11|12,6,9",R16,OTHER,XD,911,Main Draw,BELROSE Alize (PYF),WILLIAM Randy (VAN),RICHMOND Melveen (PYF),QWEA Stephanie (VAN),3 - 0,14:12 11:6 11:9,BELROSE Alize,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,YAN Xin,SHING Yoshua,AUS,VAN,3,0,"11,11,11|6,4,4",QuarterFinal,OTHER,XD,911,Main Draw,YAN Xin (AUS),SHING Yoshua (VAN),LAY Jian Fang (AUS),LULU Anolyn (VAN),3 - 0,11:6 11:4 11:4,YAN Xin,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,TOWNSEND Kane,POWELL David,AUS,AUS,3,0,"12,11,11|10,3,0",QuarterFinal,OTHER,XD,911,Main Draw,TOWNSEND Kane (AUS),POWELL David (AUS),BROMLEY Michelle (AUS),MIAO Miao (AUS),3 - 0,12:10 11:3 11:0,TOWNSEND Kane,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,HU Heming,BELROSE Alize,AUS,PYF,3,2,"11,11,3,7,11|6,8,11,11,3",QuarterFinal,OTHER,XD,911,Main Draw,BELROSE Alize (PYF),HU Heming (AUS),RICHMOND Melveen (PYF),TAPPER Melissa (AUS),2 - 3,6:11 8:11 11:3 11:7 3:11,HU Heming,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,HU Heming,CARTER Trent,AUS,AUS,3,2,"11,11,5,2,11|5,4,11,11,9",SemiFinal,OTHER,XD,911,Main Draw,CARTER Trent (AUS),HU Heming (AUS),FENG Chunyi (AUS),TAPPER Melissa (AUS),2 - 3,5:11 4:11 11:5 11:2 9:11,HU Heming,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,WU Vicky,CARNET Bydhir,FIJ,PYF,3,0,"11,11,11|8,6,7",QuarterFinal,OTHER,U21XD,911,Main Draw,CARNET Bydhir (PYF),WU Vicky (FIJ),DANGER Solenn (NCL),YEE Grace Rosi (FIJ),0 - 3,8:11 6:11 7:11,WU Vicky,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,AUBRY Ronan,COSGRIFF Luke,NCL,AUS,3,0,"11,11,12|9,8,10",QuarterFinal,OTHER,U21XD,911,Main Draw,COSGRIFF Luke (AUS),AUBRY Ronan (NCL),QUAH Chermaine (AUS),LA Lorie (NCL),0 - 3,9:11 8:11 10:12,AUBRY Ronan,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,GOULD Benjamin,WU Vicky,AUS,FIJ,3,0,"11,11,11|7,6,6",SemiFinal,OTHER,U21XD,911,Main Draw,GOULD Benjamin (AUS),WU Vicky (FIJ),ALEXANDERSSON Matilda (AUS),YEE Grace Rosi (FIJ),3 - 0,11:7 11:6 11:6,GOULD Benjamin,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,DIXON Xavier,AUBRY Ronan,AUS,NCL,3,2,"11,11,9,12,11|7,6,11,14,7",SemiFinal,OTHER,U21XD,911,Main Draw,AUBRY Ronan (NCL),DIXON Xavier (AUS),LA Lorie (NCL),TOWNSEND Danni Elle (AUS),2 - 3,7:11 6:11 11:9 14:12 7:11,DIXON Xavier,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,DIXON Xavier,GOULD Benjamin,AUS,AUS,3,0,"11,11,11|6,8,9",Final,OTHER,U21XD,911,Main Draw,GOULD Benjamin (AUS),DIXON Xavier (AUS),ALEXANDERSSON Matilda (AUS),TOWNSEND Danni Elle (AUS),0 - 3,6:11 8:11 9:11,DIXON Xavier,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,YEE Grace Rosi,LA Lorie,FIJ,NCL,3,0,"11,13,11|7,11,3",4,OTHER,U21WS,911,Consolation,LA Lorie (NCL),YEE Grace Rosi (FIJ),,,0 - 3,7:11 11:13 3:11,YEE Grace Rosi,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,YEE Sally,DANGER Solenn,FIJ,NCL,3,2,"11,9,6,11,11|7,11,11,1,9",4,OTHER,U21WS,911,Consolation,YEE Sally (FIJ),DANGER Solenn (NCL),,,3 - 2,11:7 9:11 6:11 11:1 11:9,YEE Sally,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,YEE Sally,YEE Grace Rosi,FIJ,FIJ,3,1,"6,11,11,11|11,8,9,6",2,OTHER,U21WS,911,Consolation,YEE Grace Rosi (FIJ),YEE Sally (FIJ),,,1 - 3,11:6 8:11 9:11 6:11,YEE Sally,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,LOI Geoffrey,MANICO Benji,PNG,COK,3,0,"11,11,11|4,3,5",8,OTHER,U21MS,911,Consolation,LOI Geoffrey (PNG),MANICO Benji (COK),,,3 - 0,11:4 11:3 11:5,LOI Geoffrey,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,LOI Geoffrey,WU Vicky,PNG,FIJ,3,2,"11,8,11,11,11|7,11,9,13,6",2,OTHER,U21MS,911,Consolation,WU Vicky (FIJ),LOI Geoffrey (PNG),,,2 - 3,7:11 11:8 9:11 13:11 6:11,LOI Geoffrey,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,GOULD Benjamin,DHOORIA Rohan,AUS,AUS,3,2,"12,11,11,6,11|14,9,3,11,6",QuarterFinal,OTHER,U21MS,911,Main Draw,DHOORIA Rohan (AUS),GOULD Benjamin (AUS),,,2 - 3,14:12 9:11 3:11 11:6 6:11,GOULD Benjamin,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,COSGRIFF Luke,DELA PENA Alfred,AUS,NZL,3,2,"9,8,11,11,11|11,11,8,7,8",QuarterFinal,OTHER,U21MS,911,Main Draw,COSGRIFF Luke (AUS),DELA PENA Alfred (NZL),,,3 - 2,9:11 8:11 11:8 11:7 11:8,COSGRIFF Luke,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,XU Nathan,DIXON Xavier,NZL,AUS,3,1,"12,11,9,11|10,7,11,7",QuarterFinal,OTHER,U21MS,911,Main Draw,XU Nathan (NZL),DIXON Xavier (AUS),,,3 - 1,12:10 11:7 9:11 11:7,XU Nathan,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,SHU Dean,AUBRY Ronan,NZL,NCL,3,2,"11,6,8,11,11|6,11,11,9,9",QuarterFinal,OTHER,U21MS,911,Main Draw,AUBRY Ronan (NCL),SHU Dean (NZL),,,2 - 3,6:11 11:6 11:8 9:11 9:11,SHU Dean,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,GOULD Benjamin,COSGRIFF Luke,AUS,AUS,3,1,"11,11,11,11|13,5,7,8",SemiFinal,OTHER,U21MS,911,Main Draw,GOULD Benjamin (AUS),COSGRIFF Luke (AUS),,,3 - 1,11:13 11:5 11:7 11:8,GOULD Benjamin,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,XU Nathan,SHU Dean,NZL,NZL,3,1,"11,9,11,11|9,11,4,7",SemiFinal,OTHER,U21MS,911,Main Draw,XU Nathan (NZL),SHU Dean (NZL),,,3 - 1,11:9 9:11 11:4 11:7,XU Nathan,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,XU Nathan,GOULD Benjamin,NZL,AUS,3,1,"8,11,11,11|11,8,6,8",Final,OTHER,U21MS,911,Main Draw,GOULD Benjamin (AUS),XU Nathan (NZL),,,1 - 3,11:8 8:11 6:11 8:11,XU Nathan,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,TOWNSEND Danni Elle,QUAH Chermaine,AUS,AUS,3,1,"9,11,11,11|11,6,1,8",SemiFinal,OTHER,U21WS,911,Main Draw,TOWNSEND Danni Elle (AUS),QUAH Chermaine (AUS),,,3 - 1,9:11 11:6 11:1 11:8,TOWNSEND Danni Elle,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,TOWNSEND Danni Elle,KAUR Parleen,AUS,AUS,3,0,"11,11,11|6,7,7",Final,OTHER,U21WS,911,Main Draw,TOWNSEND Danni Elle (AUS),KAUR Parleen (AUS),,,3 - 0,11:6 11:7 11:7,TOWNSEND Danni Elle,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,DHOORIA Rohan,AUBRY Ronan,AUS,NCL,3,0,"11,11,12|8,8,10",,OTHER,U21MS,911,Qualification,DHOORIA Rohan (AUS),AUBRY Ronan (NCL),,,3 - 0,11:8 11:8 12:10,DHOORIA Rohan,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,AUBRY Ronan,LOI Geoffrey,NCL,PNG,3,1,"10,11,11,11|12,6,7,8",,OTHER,U21MS,911,Qualification,LOI Geoffrey (PNG),AUBRY Ronan (NCL),,,1 - 3,12:10 6:11 7:11 8:11,AUBRY Ronan,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,SHU Dean,WU Vicky,NZL,FIJ,3,1,"11,10,11,11|7,12,3,4",,OTHER,U21MS,911,Qualification,SHU Dean (NZL),WU Vicky (FIJ),,,3 - 1,11:7 10:12 11:3 11:4,SHU Dean,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,SHU Dean,COSGRIFF Luke,NZL,AUS,3,1,"8,11,11,11|11,9,8,6",,OTHER,U21MS,911,Qualification,SHU Dean (NZL),COSGRIFF Luke (AUS),,,3 - 1,8:11 11:9 11:8 11:6,SHU Dean,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,COSGRIFF Luke,WU Vicky,AUS,FIJ,3,0,"11,11,11|8,6,4",,OTHER,U21MS,911,Qualification,COSGRIFF Luke (AUS),WU Vicky (FIJ),,,3 - 0,11:8 11:6 11:4,COSGRIFF Luke,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,DELA PENA Alfred,UEA Tautu,NZL,COK,3,0,"11,11,11|1,2,0",,OTHER,U21MS,911,Qualification,DELA PENA Alfred (NZL),UEA Tautu (COK),,,3 - 0,11:1 11:2 11:0,DELA PENA Alfred,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,DELA PENA Alfred,DIXON Xavier,NZL,AUS,3,1,"12,10,16,11|10,12,14,7",,OTHER,U21MS,911,Qualification,DELA PENA Alfred (NZL),DIXON Xavier (AUS),,,3 - 1,12:10 10:12 16:14 11:7,DELA PENA Alfred,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,DIXON Xavier,UEA Tautu,AUS,COK,3,0,"11,11,11|2,2,4",,OTHER,U21MS,911,Qualification,DIXON Xavier (AUS),UEA Tautu (COK),,,3 - 0,11:2 11:2 11:4,DIXON Xavier,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,GOULD Benjamin,MANICO Benji,AUS,COK,3,0,"11,11,11|2,2,2",,OTHER,U21MS,911,Qualification,GOULD Benjamin (AUS),MANICO Benji (COK),,,3 - 0,11:2 11:2 11:2,GOULD Benjamin,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,XU Nathan,CARNET Bydhir,NZL,PYF,3,0,"11,11,11|4,8,4",,OTHER,U21MS,911,Qualification,XU Nathan (NZL),CARNET Bydhir (PYF),,,3 - 0,11:4 11:8 11:4,XU Nathan,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,CARNET Bydhir,MANICO Benji,PYF,COK,3,0,"11,11,11|5,5,2",,OTHER,U21MS,911,Qualification,MANICO Benji (COK),CARNET Bydhir (PYF),,,0 - 3,5:11 5:11 2:11,CARNET Bydhir,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,GOULD Benjamin,CARNET Bydhir,AUS,PYF,3,0,"11,11,11|3,4,6",,OTHER,U21MS,911,Qualification,GOULD Benjamin (AUS),CARNET Bydhir (PYF),,,3 - 0,11:3 11:4 11:6,GOULD Benjamin,2018
ITTF Oceania Championships Gold Coast 2018,2018-03-15,XU Nathan,MANICO Benji,NZL,COK,3,0,"11,11,11|7,1,4",,OTHER,U21MS,911,Qualification,XU Nathan (NZL),MANICO Benji (COK),,,3 - 0,11:7 11:1 11:4,XU Nathan,2018
